word.EN,word.CH,pos,syllables,strokes,HSK,valence.mean.CH,valence.sd.CH,valence.N.CH,arousal.mean.CH,arousal.sd.CH,arousal.N.CH,valence.mean.EN,valence.sd.EN,valence.N.EN,arousal.mean.EN,arousal.sd.EN,arousal.N.EN,sensory.mean.CH,sensory.sd.CH,sensory.N.CH,valence_Xu,arousal_Xu,valence_yao,arousal_yao,imageability_su,familiarity_su,concreteness_xu,freq_m_Tsang,freq_cncorpus,AoA_Xu,RT_Tsang,zRT_Tsang,category
abalone,鲍鱼,noun,2,21,NA,5.44,1.9,16,4.62,1.89,16,5.3,1.59,20,2.65,1.9,20,3.6,2.67,15,0.21,2.14,NA,NA,NA,5.591837,1.321429,0.57,NA,10.4,741.59,-0.231,NA
abandon,放弃,verb,2,15,4,3.25,1.39,16,5.25,1.65,16,2.84,1.54,19,3.73,2.43,22,5.5,2.76,16,-1.5,2.32,NA,NA,3.45,6.32,3.086957,143.77,0.0043,10,679.22,-0.572,NA
abdomen,腹部,noun,2,23,NA,4.88,1.59,16,4.06,1.81,16,5.43,1.75,21,3.68,2.23,22,3.81,1.91,16,NA,NA,NA,NA,NA,5.869565,NA,NA,0.0017,11,NA,NA,NA
ability,能力,noun,2,12,4,6.38,1.71,16,6.19,1.33,16,7,1.59,20,4.85,2.74,20,4.75,2.91,16,1.08,2.39,NA,NA,3.875,6.5,3.647059,123.29,0.038,13.2,597.93,-0.747,NA
abnormality,异常,adjective,2,17,6,3.88,1.86,16,6.5,1.26,16,3.05,1.81,19,5,2.62,22,4.73,2.22,15,-0.88,2.68,NA,NA,2.90909,6.433333,3.75,25.16,0.0043,11.2,678.57,-0.58,NA
abolish,废除,verb,2,17,6,3.94,1.81,16,5.88,1.15,16,3.84,1.54,19,4.18,2.07,17,3.5,2.53,16,NA,NA,NA,NA,4.05,5.8,NA,NA,0.0026,11.7,NA,NA,NA
abortion,流产,verb,2,16,NA,2.31,2.09,16,7.13,1.41,15,2.58,1.84,19,5.43,2.38,47,5.81,2.51,16,NA,NA,NA,NA,NA,5.521739,NA,NA,NA,13.5,NA,NA,NA
abscess,脓肿,noun,2,18,NA,2.31,1.89,16,6.47,1.68,15,2.79,1.58,19,4,2.38,20,5.87,1.92,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
absence,缺席,verb,2,20,6,4.19,1.11,16,5.06,1.06,16,3.86,2.08,21,4.3,2.13,20,4,2.71,16,NA,NA,NA,NA,4.5,5.68,NA,NA,NA,10.7,NA,NA,NA
absolution,赦免,verb,2,18,NA,5.56,1.82,16,4.93,2.09,15,6.58,1.68,19,3.38,2.11,21,4.25,1.98,16,NA,NA,NA,NA,3.54545,5.5,NA,NA,NA,NA,NA,NA,NA
