,object,image,name_agreement,H_statistic,Normalised_H_statistic,recognition_RT_mean,recognition_RT_SD,recognition_RT_95CI,first_key_RT,is_natural,modalName,modalWordFreq,weightedWordFreq,modalWordLength,weightedWordLength,modalProductionFreq_raw,altName1,altName1ProductionFreq_raw,altName1WordFreq,altName1WordLength,altName2,altName2ProductionFreq_raw,altName2WordFreq,altName2WordLength,altName3,altName3ProductionFreq_raw,altName3WordFreq,altName3WordLength,altName4,altName4ProductionFreq_raw,altName4WordFreq,altName4WordLength,altName5,altName5ProductionFreq_raw,altName5WordFreq,altName5WordLength,altName6,altName6ProductionFreq_raw,altName6WordLength,altName6WordFreq,altName7,altName7ProductionFreq_raw,altName7WordLength,altName7WordFreq,altName8,altName8ProductionFreq_raw,altName8WordLength,altName8WordFreq,altName9,altName9ProductionFreq_raw,altName9WordLength,altName9WordFreq,altName10,altName10ProductionFreq_raw,altName10WordLength,altName10WordFreq,altName11,altName11ProductionFreq_raw,altName11WordLength,altName11WordFreq,altName12,altName12ProductionFreq_raw,altName12WordLength,altName12WordFreq,altName13,altName13ProductionFreq_raw,altName13WordLength,altName13WordFreq,altName14,altName14ProductionFreq_raw,altName14WordLength,altName14WordFreq,altName15,altName15ProductionFreq_raw,altName15WordLength,altName15WordFreq
1,airliner,airliner_1.png,71.875,1.385888579,0.536134887,914.235484,582.6945,205.12008,96.32258058,0,plane,4.58,4.446666667,5,5.740740741,23,aeroplane,5,3.86,9,aircraft,1,4.44,8,jumbo jet,1,2.760193715,8,boeing 737-600,1,NA,13,jet,1,4.21,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,airliner,airliner_2.png,62.5,1.684686051,0.60009728,838.08125,374.15745,129.63656,94.046875,0,plane,4.58,4.393333333,5,6.037037037,20,aeroplane,7,3.86,9,fly,1,4.9,3,jet,1,4.21,3,airliner,1,2.84,8,boeing 747,1,2.172856981,9,boeing 747-400,1,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,airliner,airliner_3.png,57.57575758,1.734092672,0.617696273,981.4545455,479.67599,163.6587,90.39393935,0,plane,4.58,4.120357143,5,5.964285714,19,airplane,9,3.15,8,fly,1,4.9,3,jet,1,4.21,3,holiday,1,4.94,7,airliner,1,2.84,8,passenger plane,1,14,2.26393745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,airliner,airliner_4.png,70.58823529,1.711169091,0.539813746,1013.551515,569.85241,194.42562,93.41818184,0,plane,4.58,4.496923077,5,5.461538462,24,aeroplane,3,3.86,9,fly,1,4.9,3,jet engine,1,2.863053061,9,concorde,1,3.27,8,jumbo jet,1,2.760193715,8,passenger plane,1,14,2.26393745,boeing 737-800,1,13,NA,jet,1,3,4.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,aloe,aloe_1.png,46.875,2.106145033,0.750223998,1302.206452,909.76813,320.25651,96.89354841,1,aloe vera,2.376976964,3.183488482,8,6.428571429,15,plant,8,4.81,5,aloe,4,2.67,4,cactus,2,3.35,6,flower,1,4.5,6,succulent,1,3.31,9,agave,1,5,2.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,aloe,aloe_2.png,46.875,2.124429394,0.756737019,1450.512903,571.40968,201.1476,99.79354847,1,plant,4.81,3.909817315,5,5.678571429,15,cactus,6,3.35,6,aloe vera,5,2.376976964,8,aloe,2,2.67,4,succulent,1,3.31,9,agave,1,2.02,5,flower,1,6,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,aloe,aloe_3.png,37.5,2.452619697,0.77371537,1290.64,654.91434,234.35378,87.80333331,1,aloe vera,2.376976964,3.436312379,8,6.607142857,12,plant,10,4.81,5,succulent,3,3.31,9,aloe,2,2.67,4,cactus,2,3.35,6,flower,1,4.5,6,agave,1,5,2.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,aloe,aloe_4.png,34.375,2.022497303,0.871042177,1192.634483,566.44584,206.16146,91.91379311,1,aloe vera,2.376976964,3.315598093,8,6.107142857,11,plant,10,4.81,5,aloe,5,2.67,4,cactus,4,3.35,6,agave,1,2.02,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,apple,apple_1.png,100,0,0,716.434375,196.92061,68.22825,87.99999999,1,apple,4.58,4.58,5,5,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,apple,apple_2.png,100,0,0,829.646875,321.85842,111.51621,95.16250001,1,apple,4.58,4.58,5,5,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
