Experiment_Name,Paradigm,Modality,Subject,Object_Ch,Object_Pinyin,Object En,RT,ACC,Condition
E001,Continuous Naming,Speaking,1,坦克,tan3ke4,tank,771,1,PhonologyRelated_FILLER_Repetition1
E001,Continuous Naming,Speaking,1,毛笔,mao2bi3,writing brush,725,1,PhonologyRelated_FILLER_Repetition1
E001,Continuous Naming,Speaking,1,夹子,jia1zi5,clip,1016,1,PhonologyRelated_FILLER_Repetition1
E001,Continuous Naming,Speaking,1,书包,shu1bao1,schoolbag,565,1,PhonologyRelated_shu_Repetition1
E001,Continuous Naming,Speaking,1,静脉,jing4mai4,vein,1001,1,PhonologyRelated_jing_Repetition1
E001,Continuous Naming,Speaking,1,井盖,jing3gai4,well cover,694,1,PhonologyRelated_jing_Repetition1
E001,Continuous Naming,Speaking,1,拉链,la1lian4,zipper,857,1,PhonologyRelated_la_Repetition1
E001,Continuous Naming,Speaking,1,算盘,suan4pan2,abacus,652,1,PhonologyRelated_FILLER_Repetition1
E001,Continuous Naming,Speaking,1,花瓶,hua1ping2,vase,797,1,PhonologyRelated_FILLER_Repetition1
E001,Continuous Naming,Speaking,1,喇叭,la3ba5,horn,1143,1,PhonologyRelated_la_Repetition1
E001,Continuous Naming,Speaking,1,竖琴,shu4qin2,harp,803,1,PhonologyRelated_shu_Repetition1
E001,Continuous Naming,Speaking,1,戒指,jie4zhi5,ring,916,1,PhonologyRelated_FILLER_Repetition1
E001,Continuous Naming,Speaking,1,镜子,jing4zi5,mirror,816,1,PhonologyRelated_jing_Repetition1
E001,Continuous Naming,Speaking,1,树枝,shu4zhi1,branch,877,1,PhonologyRelated_shu_Repetition1
E001,Continuous Naming,Speaking,1,鼠标,shu3biao1,mouse,873,1,PhonologyRelated_shu_Repetition1
E001,Continuous Naming,Speaking,1,邮票,you2piao4,stamp,778,1,PhonologyRelated_FILLER_Repetition1
E001,Continuous Naming,Speaking,1,辣椒,la4jiao1,pepper,351,1,PhonologyRelated_la_Repetition1
E001,Continuous Naming,Speaking,1,精灵,jing1ling2,demon,775,1,PhonologyRelated_jing_Repetition1
E001,Continuous Naming,Speaking,1,马蹄,ma3ti2,waternut,917,1,PhonologyRelated_ma_Repetition1
E001,Continuous Naming,Speaking,1,梳子,shu1zi5,comb,633,1,PhonologyRelated_shu_Repetition1
E001,Continuous Naming,Speaking,1,鲸鱼,jing1yu2,whale,729,1,PhonologyRelated_jing_Repetition1
E001,Continuous Naming,Speaking,1,腊梅,la4mei2,wintersweet,847,1,PhonologyRelated_la_Repetition1
E001,Continuous Naming,Speaking,1,蜡烛,la4zhu2,candle,727,1,PhonologyRelated_la_Repetition1
E001,Continuous Naming,Speaking,1,马桶,ma3tong3,toilet,709,1,PhonologyRelated_ma_Repetition1
E001,Continuous Naming,Speaking,1,玉米,yu4mi3,corn,285,1,PhonologyRelated_yu_Repetition1
E001,Continuous Naming,Speaking,1,湖泊,hu2po1,lake,1097,1,PhonologyRelated_hu_Repetition1
