ID,Word,IMA_M,IMA_SD,IMA_MIN,IMA_MAX,IMA_N
1,阿姨,6.31579,1.10818,4,7,19
2,哀悼,4.60000,2.01050,1,7,20
3,哀鸣,3.22727,2.20242,1,7,22
4,哀求,4.58333,1.69184,2,7,24
5,哀伤,4.70000,1.71985,1,7,20
6,哀思,4.86957,2.13849,1,7,23
7,哀叹,4.09091,1.79706,1,7,22
8,哀痛,4.57143,2.15804,1,7,21
9,矮小,6.43478,0.84348,5,7,23
10,爱戴,4.52381,1.86062,1,7,21
11,爱抚,5.68421,1.29326,3,7,19
12,爱好,4.95238,2.37647,1,7,21
13,爱护,4.52381,1.93956,1,7,21
14,爱慕,4.95000,2.08945,1,7,20
15,爱情,4.59091,1.96781,1,7,22
16,爱人,5.38095,1.96153,1,7,21
17,爱惜,4.38095,1.93588,1,7,21
18,爱心,5.13636,1.83343,2,7,22
19,隘口,3.04545,1.96341,1,7,22
20,碍事,4.95652,1.74456,1,7,23
21,安定,3.81818,2.30189,1,7,22
22,安顿,4.42857,2.06328,1,7,21
23,安放,3.35000,1.72520,1,7,20
24,安分,3.66667,1.95789,1,7,21
25,安抚,3.86364,2.18862,1,7,22
26,安好,3.29167,1.82921,1,7,24
27,安家,5.00000,2.40832,1,7,21
28,安检,5.23810,1.86828,2,7,21
29,安静,5.69565,1.55021,2,7,23
30,安康,3.95455,2.05814,1,7,22
31,安乐,3.22727,1.71636,1,6,22
32,安眠,4.71429,2.00357,1,7,21
33,安宁,3.59091,1.84285,1,7,22
34,安排,3.26087,2.02748,1,7,23
35,安全,3.90000,2.10013,1,7,20
36,安适,3.98000,2.09460,1,7,50
37,安慰,4.28571,2.21682,1,7,21
38,安稳,3.56522,2.10683,1,7,23
39,安息,4.25000,1.83174,1,7,20
40,安闲,3.87500,2.07076,1,7,24
41,安详,4.00000,2.04939,1,7,21
42,安心,3.40000,1.87504,1,7,20
43,安逸,4.25000,1.91600,1,7,20
44,安葬,5.54545,1.99350,1,7,22
45,安置,3.75000,2.02290,1,7,20
46,安装,4.33333,2.04423,1,7,42
47,按键,5.75610,1.57766,2,7,41
48,按理,3.39535,2.06028,1,7,43
49,按摩,6.00000,1.15470,3,7,19
50,按时,3.45000,2.08945,1,7,20
51,按说,2.40000,1.60263,1,5,20
52,按照,2.73913,1.76371,1,7,23
53,案件,4.14000,2.10936,1,7,50
54,案例,3.79310,1.89698,1,7,29
55,暗淡,4.30435,2.05459,1,7,23
56,暗号,4.51724,2.09797,1,7,29
57,暗红,5.80952,1.40068,3,7,21
58,暗杀,4.75000,2.17340,1,7,20
59,暗示,2.86364,1.75378,1,6,22
60,暗算,3.40909,1.76363,1,7,22
61,暗想,3.42857,2.15804,1,7,21
62,暗中,3.90000,2.14966,1,7,20
63,暗自,3.95000,2.28208,1,7,20
64,黯淡,4.05000,1.95946,1,7,20
65,肮脏,5.14286,2.12804,1,7,21
