Word_ID,Words,Word_Eng,N_Valence,M_Valence,SD_Valence,N_Arousal,M_Arousal,SD_Arousal,Category,Sub_category
1,阿姨,aunt,20,4.9,0.447213595,28,3,1.360827635,Expanded activities,Communication
2,癌症,cancer,29,1.310344828,0.470823615,25,8.36,0.757187779,Basic activities,Nursing
3,爱好,hobby,22,6.954545455,1.252702706,28,5.071428571,2.053516792,Expanded activities,Psychology
4,碍事,get in the way,21,3.095238095,0.768424486,28,5,1.805341868,Expanded activities,Psychology
5,安全,safe,30,6.9,1.647359434,31,3.64516129,2.665187762,Expanded activities,Others
6,安慰,comfort,29,6.206896552,1.372674926,26,4.423076923,2.062485431,Expanded activities,Psychology
7,安心,peace of mind,26,6.653846154,1.164209867,28,3.392857143,2.148889217,Expanded activities,Psychology
8,按揭,mortgage,25,4.44,1.15758369,29,4.482758621,1.901516118,Basic activities,Consumption
9,按摩,massage,27,5.888888889,1.310705428,28,4.071428571,1.48893627,Basic activities,Nursing
10,把手,handles,19,5,0,27,2.555555556,1.187542172,Basic activities,Basic life activities
11,爸爸,dad,26,6.461538462,1.502817866,28,3.464285714,2.284928767,Expanded activities,Communication
12,拜访,visit,28,6.642857143,1.41981443,25,2.32,1.573742885,Expanded activities,Communication
13,拜托,please,30,5.5,1.456258787,27,5.037037037,1.652072858,Expanded activities,Communication
14,办理,handle,30,4.766666667,0.727932042,30,3.633333333,1.650148025,Expanded activities,Others
15,办事,work,24,5.041666667,0.806450444,29,3.965517241,1.741976681,Expanded activities,Others
16,伴郎,groomsman,25,5.96,1.513274595,28,4.75,2.204792759,Expanded activities,Others
17,伴娘,bridesmaid,26,6.769230769,1.531213697,29,4.724137931,1.906690321,Expanded activities,Others
18,包裹,pack,24,5.416666667,0.974307632,28,4.035714286,1.598196735,Expanded activities,Others
19,包装,package,27,4.925925926,0.828619144,25,1.8,1.258305739,Basic activities,Consumption
20,包子,steamed stuffed bun,30,6.633333333,1.06619961,24,1.625,1.055523773,Basic activities,Basic life activities
21,宝贝,treasured object,30,7.466666667,1.224275531,30,5.233333333,2.176414852,Expanded activities,Communication
22,保安,security guard,29,4.482758621,1.298919597,30,3.333333333,1.647010528,Expanded activities,Communication
23,保姆,nanny,22,4.727272727,1.162174406,28,3.25,1.481365736,Basic activities,Nursing
24,保守,conservative,26,4.115384615,0.908930056,28,3.785714286,1.685606669,Expanded activities,Psychology
25,保养,maintainance,25,6.08,1.077032961,27,4.407407407,2.080296933,Basic activities,Consumption
26,保重,take care of yourself,28,5.857142857,1.380131119,28,4.107142857,1.342724861,Expanded activities,Communication
27,报答,repay,28,6.785714286,1.315354983,27,5.185185185,1.961887573,Expanded activities,Psychology
28,报警,call the police,26,2.692307692,0.970329048,27,6.851851852,1.48592638,Expanded activities,Others
29,报销,to reimburse,30,5.5,1.634751906,27,4.148148148,1.974913897,Basic activities,Consumption
30,报纸,newspaper,27,5.222222222,0.640512615,28,2.071428571,1.08622934,Expanded activities,Leisure
31,抱歉,sorry,28,4.178571429,1.306779231,28,4.357142857,1.366647309,Expanded activities,Psychology
32,暴雨,rainstorm,26,2.538461538,1.0288156,28,5.857142857,1.860192856,Expanded activities,Others
33,暴躁,irritable,29,2.068965517,0.961064681,30,8.233333333,1.006301982,Expanded activities,Psychology
34,杯子,cup,21,5.047619048,0.384212243,28,2.285714286,1.181873681,Basic activities,Housework
35,悲剧,tragedy,26,1.730769231,0.77757018,28,8,1.018350154,Expanded activities,Psychology
36,悲伤,sad,28,2,0.860662966,27,6.777777778,1.368135546,Expanded activities,Psychology
37,被套,quilt cover,27,5,0.620173673,30,3.266666667,1.79910578,Basic activities,Basic life activities
38,被子,quilt,29,6.413793103,1.37625894,25,1.88,1.563116545,Basic activities,Basic life activities
39,辈分,seniority in the family,30,5.666666667,1.470006646,30,3.433333333,1.501340397,Expanded activities,Communication
40,崩溃,collapse,29,1.75862069,0.73945793,30,7.966666667,1.06619961,Expanded activities,Psychology
41,鼻涕,nose,30,2.933333333,1.172481404,30,4.066666667,2.132399221,Basic activities,Nursing
42,鄙视,despise,22,3.045454545,1.0900971,27,5.259259259,1.722980258,Expanded activities,Psychology
43,便秘,constipate,28,2.642857143,0.911420776,29,4.931034483,1.85030952,Basic activities,Nursing
44,便宜,cheap,30,5.866666667,1.332183412,27,5.111111111,2.100061049,Basic activities,Consumption
45,表哥,elder brother from the mother side,24,5.291666667,0.999093792,28,3.964285714,1.914508792,Expanded activities,Communication
46,表姐,elder sister from the mother side,29,6.137931034,1.407229749,30,3.466666667,2.285385855,Expanded activities,Communication
47,表扬,praise,28,7.642857143,0.678466993,27,6.444444444,1.887883091,Expanded activities,Psychology
48,冰箱,refrigerator,29,5.034482759,1.017095255,26,2.653846154,1.742235522,Basic activities,Housework
49,饼干,biscuits,29,6.655172414,1.203443336,26,1.576923077,0.80860754,Basic activities,Basic life activities
50,病床,hospital bed,29,2.620689655,1.424625091,26,6.730769231,2.474796029,Basic activities,Nursing
51,病毒,virus,27,1.777777778,0.891555828,29,6.034482759,2.611550697,Basic activities,Nursing
52,病房,ward,21,2.952380952,0.973457265,28,4.892857143,2.060911084,Basic activities,Nursing
53,病历,medical record,30,3.033333333,1.098065174,27,4.962962963,2.028289948,Basic activities,Nursing
54,病情,state of illness,26,2.692307692,1.378962821,27,6.074074074,1.356634011,Basic activities,Nursing
55,病人,patients,29,2.24137931,1.090713149,31,5.161290323,2.477858944,Basic activities,Nursing
56,拨号,dial,27,5.333333333,0.784464541,28,3.321428571,1.866935922,Expanded activities,Communication
57,伯伯,uncle,28,5.821428571,1.656716329,28,3.428571429,1.93273116,Expanded activities,Communication
58,伯母,aunt,27,5.444444444,1.086041979,27,2.777777778,1.502135232,Expanded activities,Communication
59,补贴,subsidy,28,6.892857143,1.030615987,27,4.444444444,1.98713813,Basic activities,Consumption
60,补助,subsidy,21,6.142857143,1.152636729,26,3.653846154,1.46812282,Basic activities,Consumption
61,不安,disturbed,30,2.633333333,1.188546877,29,5.75862069,1.430663493,Expanded activities,Psychology
62,才华,talent,29,7.448275862,1.616570596,31,4.64516129,2.470470766,Expanded activities,Others
63,财产,property,30,6,1.414213562,27,4.555555556,2.207214279,Basic activities,Consumption
64,彩礼,bride price,22,5.863636364,1.698611605,28,4.428571429,1.687175405,Basic activities,Consumption
65,餐车,dining car,26,5.769230769,1.335894975,27,3.111111111,1.395964881,Expanded activities,Others
66,餐厅,dinning room,27,6.037037037,1.372294022,28,3.678571429,1.826828286,Basic activities,Housework
67,残疾,disability,21,2.380952381,0.804747816,28,4.607142857,2.024649686,Basic activities,Nursing
68,惭愧,ashamed,26,3.153846154,0.833897245,29,5.206896552,1.820112052,Expanded activities,Psychology
69,操场,playground,28,4.785714286,0.498675494,27,3.037037037,2.009237924,Expanded activities,Leisure
70,操心,worry,28,3.392857143,1.196887498,31,5.483870968,1.841574829,Expanded activities,Psychology
71,草率,hasty,30,3,1.144702943,26,4.269230769,2.42582262,Expanded activities,Psychology
72,厕所,toilet,26,4.884615385,0.431455497,27,3.037037037,1.849770911,Basic activities,Basic life activities
73,忏悔,repent,29,2.931034483,1.131719125,27,5.592592593,1.78151317,Expanded activities,Psychology
74,唱歌,sing a song,22,7.409090909,1.007547277,28,5.857142857,2.172458681,Expanded activities,Leisure
75,钞票,banknote,22,7.045454545,1.252702706,28,5,2.177324216,Basic activities,Consumption
76,嘲笑,laugh at,30,3.033333333,1.29942516,27,5.703703704,1.835856849,Expanded activities,Psychology
77,吵架,quarrel,22,2.136363636,0.833549755,27,7.518518519,1.528457502,Expanded activities,Psychology
78,炒菜,stir fry,28,5.5,1.290994449,29,3.931034483,1.751143187,Basic activities,Housework
79,炒股,stock,22,4.636363636,1.497472618,28,4.892857143,2.469657132,Basic activities,Consumption
80,车费,fare,28,4.642857143,0.731020885,26,4,1.876166304,Basic activities,Consumption
81,车祸,car accident,25,1.64,0.810349719,28,8.214285714,0.832539304,Basic activities,Nursing
82,车票,bus ticket,27,5,0.620173673,26,2.884615385,2.519157368,Expanded activities,Others
83,车站,station,25,5,0.5,28,2.678571429,1.415615857,Expanded activities,Others
84,成婚,get married,31,6.709677419,1.616447718,30,4.9,2.26441741,Expanded activities,Others
85,成家,get married,28,6.785714286,0.956736074,27,4.703703704,2.215588389,Expanded activities,Others
86,成亲,marriage,28,7.857142857,0.890870806,29,6.103448276,2.380648585,Expanded activities,Others
87,成熟,mature,26,5.923076923,1.262476199,28,3.821428571,1.516662306,Expanded activities,Psychology
88,诚实,honest,27,7.111111111,1.050030525,28,4.214285714,2.469924918,Expanded activities,Psychology
89,承担,shoulder,26,4.192307692,1.020557917,28,4.392857143,1.617938462,Expanded activities,Psychology
90,承受,undertake,24,4,1.285369174,29,4.862068966,1.505327158,Expanded activities,Psychology
91,城市,city,26,5.576923077,0.80860754,28,3.178571429,1.846990975,Expanded activities,Others
92,乘车,ride,26,5.346153846,0.745241314,28,2.892857143,1.370030703,Expanded activities,Others
93,惩罚,punish,27,2.37037037,0.791694781,29,6.206896552,1.800383101,Basic activities,Consumption
94,吃饭,have a meal,30,5.8,1.270351567,26,2.615384615,1.675157857,Basic activities,Basic life activities
95,吃惊,surprised,28,2.928571429,0.939998874,28,6.642857143,1.253566341,Expanded activities,Psychology
96,吃亏,suffer,30,3.5,1.570196561,26,3.730769231,2.324782868,Expanded activities,Psychology
97,吃药,take medicine,26,3,0.848528137,28,4.571428571,1.730522752,Basic activities,Nursing
98,痴呆,dementia,25,1.76,0.830662386,28,6.214285714,1.931361885,Basic activities,Nursing
99,迟到,late,22,3,0.690065559,28,5.107142857,1.685214256,Expanded activities,Others
100,冲动,impulse,27,2.296296296,0.868899163,27,7.259259259,1.534039228,Expanded activities,Psychology
101,充电,charge,30,5.033333333,1.217213702,27,3.444444444,1.825741858,Expanded activities,Communication
102,充实,enrich,30,5.966666667,1.272611579,27,3.814814815,1.861286508,Expanded activities,Psychology
103,崇拜,worship,28,6.785714286,1.370513363,29,4.379310345,2.274294131,Expanded activities,Psychology
104,宠物,pet,30,4.433333333,1.887953341,27,5.074074074,1.542373943,Expanded activities,Leisure
105,抽筋,cramp,28,2.785714286,0.875897121,28,6.142857143,1.297127474,Basic activities,Nursing
106,抽血,blood draw,29,2.931034483,1.251599961,30,5.266666667,2.377093753,Basic activities,Nursing
107,抽烟,smoke,29,2.103448276,1.37177746,26,5.807692308,3.2987177,Basic activities,Nursing
108,出发,set off,30,5.533333333,1.525266135,26,4.192307692,1.876576261,Expanded activities,Others
109,出嫁,married,29,6.896551724,1.31867974,31,6.290322581,2.340848114,Expanded activities,Others
110,出门,go out,22,5.545454545,1.438493681,28,3.714285714,1.978722799,Expanded activities,Others
111,出去,get out,26,6.153846154,1.433661262,29,4.206896552,1.655711119,Expanded activities,Others
112,出事,have an accident,30,2.166666667,1.234094205,29,7.137931034,1.156476729,Basic activities,Nursing
113,厨房,kitchen,27,5.222222222,0.751067616,28,3,1.586984095,Basic activities,Housework
114,处分,sanction,27,2.333333333,0.832050294,27,6.777777778,1.250640861,Basic activities,Consumption
115,传染,infect,24,1.958333333,0.806450444,28,6.678571429,1.611384761,Basic activities,Nursing
116,传统,tradition,24,5.5,1.063219066,28,3.964285714,1.85556506,Expanded activities,Others
117,串门,stop by,31,5.419354839,1.522589758,30,4.033333333,1.711690701,Expanded activities,Communication
118,窗户,window,27,4.851851852,0.533760513,26,2.384615385,1.551178212,Basic activities,Housework
119,窗帘,curtain,21,5.047619048,0.497613352,27,2.814814815,1.301981834,Basic activities,Basic life activities
120,床单,sheet,26,5.115384615,0.515901004,28,2.178571429,1.020296668,Basic activities,Basic life activities
121,伺候,serve,28,4.821428571,1.156417566,29,4.24137931,1.724925928,Basic activities,Nursing
122,刺激,stimulate,25,3.52,1.084742673,29,7.137931034,1.216673977,Expanded activities,Psychology
